mirnet,mir_acc,mir_id,symbol,entrez,embl,gene_name,action_type,pmid,mbv
miRNet-hsatf-93,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Repression,27596294,v22
miRNet-hsatf-94,MI0000285,hsa-mir-205,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Regulation,22936386,v22
miRNet-hsatf-95,MI0003605,hsa-mir-593,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Activation,25912308,v22
miRNet-hsatf-96,MI0000746,hsa-mir-99b,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Regulation,22936386,v22
miRNet-hsatf-97,MI0000477,hsa-mir-146a,BRD4,23476,ENSG00000141867,bromodomain containing 4,Activation,26855180,v22
miRNet-hsatf-98,MI0000681,hsa-mir-155,BRD4,23476,ENSG00000141867,bromodomain containing 4,Activation,26855180,v22
miRNet-hsatf-99,MI0000457,hsa-mir-141,BRD7,29117,ENSG00000166164,bromodomain containing 7,Repression,27010857,v22
miRNet-hsatf-100,MI0000681,hsa-mir-155,CAMP,820,ENSG00000164047,cathelicidin antimicrobial peptide,Activation,20209161,v22
miRNet-hsatf-101,MI0000298,hsa-mir-221,CBFB,865,ENSG00000067955,core-binding factor subunit beta,Regulation(feedback),25612891,v22
miRNet-hsatf-102,MI0000466,hsa-mir-9-1,CBX7,23492,ENSG00000100307,chromobox 7,Repression(feedback),26416703,v22
miRNet-hsatf-103,MI0000467,hsa-mir-9-2,CBX7,23492,ENSG00000100307,chromobox 7,Repression(feedback),26416703,v22
miRNet-hsatf-104,MI0000071,hsa-mir-17,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),18695042,v22
miRNet-hsatf-105,MI0000071,hsa-mir-17,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),28090171,v22
miRNet-hsatf-106,MI0000072,hsa-mir-18a,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),28090171,v22
miRNet-hsatf-107,MI0000073,hsa-mir-19a,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),28090171,v22
miRNet-hsatf-108,MI0000074,hsa-mir-19b-1,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),28090171,v22
miRNet-hsatf-109,MI0000076,hsa-mir-20a,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),18695042,v22
miRNet-hsatf-110,MI0000076,hsa-mir-20a,CCND1,595,ENSG00000110092,cyclin D1,Activation(feedback),28090171,v22
miRNet-hsatf-111,MI0000093,hsa-mir-92a-1,CCND1,595,ENSG00000110092,cyclin D1,Activation,28090171,v22
miRNet-hsatf-112,MI0000457,hsa-mir-141,CDK4,1019,ENSG00000135446,cyclin dependent kinase 4,Activation,24163379,v22
miRNet-hsatf-113,MI0003129,hsa-mir-146b,CDK4,1019,ENSG00000135446,cyclin dependent kinase 4,Activation,24163379,v22
miRNet-hsatf-114,MI0000272,hsa-mir-182,CDKN1A,1026,ENSG00000124762,cyclin dependent kinase inhibitor 1A,Regulation,24277930,v22
miRNet-hsatf-115,MI0000273,hsa-mir-183,CDKN1A,1026,ENSG00000124762,cyclin dependent kinase inhibitor 1A,Regulation,24277930,v22
miRNet-hsatf-116,MI0000098,hsa-mir-96,CDKN1A,1026,ENSG00000124762,cyclin dependent kinase inhibitor 1A,Regulation(feedback),24277930,v22
miRNet-hsatf-117,MI0000457,hsa-mir-141,CDKN2A,1029,ENSG00000147889,cyclin dependent kinase inhibitor 2A,Activation,24163379,v22
miRNet-hsatf-118,MI0003129,hsa-mir-146b,CDKN2A,1029,ENSG00000147889,cyclin dependent kinase inhibitor 2A,Activation,24163379,v22
miRNet-hsatf-119,MI0002465,hsa-mir-410,CDKN2A,1029,ENSG00000147889,cyclin dependent kinase inhibitor 2A,Activation,21170085,v22
miRNet-hsatf-120,MI0000291,hsa-mir-215,CDX1,1044,ENSG00000113722,caudal type homeobox 1,Activation,25775580,v22
miRNet-hsatf-121,MI0003628,hsa-mir-615,CDX2,1045,ENSG00000165556,caudal type homeobox 2,Activation,26269116,v22
miRNet-hsatf-122,MI0000060,hsa-let-7a-1,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,26962302,v22
miRNet-hsatf-123,MI0000061,hsa-let-7a-2,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Regulation,21365266,v22
miRNet-hsatf-124,MI0000102,hsa-mir-100,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,26404754,v22
miRNet-hsatf-125,MI0000739,hsa-mir-101-2,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation(feedback),28217257,v22
miRNet-hsatf-126,MI0000442,hsa-mir-122,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,20842632,v22
miRNet-hsatf-127,MI0000442,hsa-mir-122,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,26933995,v22
miRNet-hsatf-128,MI0000446,hsa-mir-125b-1,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation(feedback),25982911,v22
miRNet-hsatf-129,MI0000474,hsa-mir-134,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,26823765,v22
miRNet-hsatf-130,MI0000272,hsa-mir-182,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Repression(feedback),28663557,v22
miRNet-hsatf-131,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,16325577,v22
miRNet-hsatf-132,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,17482553,v22
miRNet-hsatf-133,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Regulation,20018373,v22
miRNet-hsatf-134,MI0000087,hsa-mir-29a,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Regulation,20628397,v22
miRNet-hsatf-135,MI0000736,hsa-mir-30c-1,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,23974200,v22
miRNet-hsatf-136,MI0000254,hsa-mir-30c-2,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,23974200,v22
miRNet-hsatf-137,MI0000268,hsa-mir-34a,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Activation,20889924,v22
miRNet-hsatf-138,MI0000268,hsa-mir-34a,CEBPA,1050,ENSG00000245848,CCAAT enhancer binding protein alpha,Regulation,20889924,v22
miRNet-hsatf-139,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,22354042,v22
miRNet-hsatf-140,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,24080728,v22
miRNet-hsatf-141,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,27626488,v22
miRNet-hsatf-142,MI0000461,hsa-mir-145,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,27626488,v22
miRNet-hsatf-143,MI0003129,hsa-mir-146b,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,24589738,v22
miRNet-hsatf-144,MI0000071,hsa-mir-17,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-145,MI0000271,hsa-mir-181c,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,24789793,v22
miRNet-hsatf-146,MI0000072,hsa-mir-18a,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-147,MI0000240,hsa-mir-198,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,24080728,v22
miRNet-hsatf-148,MI0000073,hsa-mir-19a,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-149,MI0000074,hsa-mir-19b-1,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-150,MI0000076,hsa-mir-20a,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-151,MI0000300,hsa-mir-223,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,25867276,v22
miRNet-hsatf-152,MI0000089,hsa-mir-31,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,25229239,v22
miRNet-hsatf-153,MI0001446,hsa-mir-424,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,23724129,v22
miRNet-hsatf-154,MI0003188,hsa-mir-503,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,23724129,v22
miRNet-hsatf-155,MI0003686,hsa-mir-542,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Activation,26272182,v22
miRNet-hsatf-156,MI0000093,hsa-mir-92a-1,CEBPB,1051,ENSG00000172216,CCAAT enhancer binding protein beta,Repression,26868909,v22
miRNet-hsatf-157,MI0003137,hsa-mir-193b,CEBPD,1052,ENSG00000221869,CCAAT enhancer binding protein delta,Activation,27918099,v22
miRNet-hsatf-158,MI0003137,hsa-mir-193b,CFTR,1080,ENSG00000001626,CF transmembrane conductance regulator,Activation,22797075,v22
miRNet-hsatf-159,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,17994015,v22
miRNet-hsatf-160,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21059906,v22
miRNet-hsatf-161,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21868695,v22
miRNet-hsatf-162,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21892154,v22
miRNet-hsatf-163,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Regulation,22916239,v22
miRNet-hsatf-164,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,25617893,v22
miRNet-hsatf-165,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,27294355,v22
miRNet-hsatf-166,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,27634380,v22
miRNet-hsatf-167,MI0000253,hsa-mir-148a,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,26001136,v22
miRNet-hsatf-168,MI0000438,hsa-mir-15b,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation(feedback),26931521,v22
miRNet-hsatf-169,MI0000077,hsa-mir-21,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21555366,v22
miRNet-hsatf-170,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21059906,v22
miRNet-hsatf-171,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,21892154,v22
miRNet-hsatf-172,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,25617893,v22
miRNet-hsatf-173,MI0000079,hsa-mir-23a,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,23019365,v22
miRNet-hsatf-174,MI0000738,hsa-mir-302a,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,26472185,v22
miRNet-hsatf-175,MI0000542,hsa-mir-320a,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,26472185,v22
miRNet-hsatf-176,MI0000816,hsa-mir-335,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,23696749,v22
miRNet-hsatf-177,MI0000781,hsa-mir-373,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,23857777,v22
miRNet-hsatf-178,MI0003644,hsa-mir-630,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation,26263387,v22
miRNet-hsatf-179,MI0000466,hsa-mir-9-1,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation(feedback),23185366,v22
miRNet-hsatf-180,MI0000466,hsa-mir-9-1,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Activation(feedback),26091714,v22
miRNet-hsatf-181,MI0000467,hsa-mir-9-2,CREB1,1385,ENSG00000118260,cAMP responsive element binding protein 1,Regulation(feedback),20624818,v22
miRNet-hsatf-182,MI0000077,hsa-mir-21,CREBBP,1387,ENSG00000005339,CREB binding protein,Activation,21555366,v22
miRNet-hsatf-183,MI0000077,hsa-mir-21,CREBBP,1387,ENSG00000005339,CREB binding protein,Activation,24983504,v22
miRNet-hsatf-184,MI0000446,hsa-mir-125b-1,CTCF,10664,ENSG00000102974,CCCTC-binding factor,Regulation,23056006,v22
miRNet-hsatf-185,MI0000783,hsa-mir-375,CTCF,10664,ENSG00000102974,CCCTC-binding factor,Repression,20978187,v22
miRNet-hsatf-186,MI0000783,hsa-mir-375,CTCF,10664,ENSG00000102974,CCCTC-binding factor,Regulation,23056006,v22
miRNet-hsatf-187,MI0000443,hsa-mir-124-1,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),26071557,v22
miRNet-hsatf-188,MI0000444,hsa-mir-124-2,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),26071557,v22
miRNet-hsatf-189,MI0000445,hsa-mir-124-3,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),26071557,v22
miRNet-hsatf-190,MI0000477,hsa-mir-146a,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,24561623,v22
miRNet-hsatf-191,MI0000479,hsa-mir-150,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),27285761,v22
miRNet-hsatf-192,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,23333633,v22
miRNet-hsatf-193,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,24335145,v22
miRNet-hsatf-194,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,25755709,v22
miRNet-hsatf-195,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,25813403,v22
miRNet-hsatf-196,MI0000273,hsa-mir-183,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),24335145,v22
miRNet-hsatf-197,MI0000273,hsa-mir-183,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation(feedback),25813403,v22
miRNet-hsatf-198,MI0000749,hsa-mir-30e,CTNNB1,1499,ENSG00000168036,catenin beta 1,Activation,20372961,v22
