Geneid	021_control	021_TGFb1	021_TGFb2	025_control	025_TGFb1	025_TGFb2	029_control	029_TGFb1	029_TGFb2	050_control	050_TGFb1	050_TGFb2	LGP3_control	LGP3_TGFb1	LGP3_TGFb2	LGP5_control	LGP5_TGFb1	LGP5_TGFb2
hsa-miR-4695-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	1	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0
hsa-miR-1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6084	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1256	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2
hsa-miR-4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-3p	0	0	1	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0
hsa-miR-4253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3115	3	3	3	4	2	2	1	4	1	0	0	6	2	15	2	5	3	1
hsa-miR-378f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6731-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4425	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1976	4	0	0	1	0	7	5	6	4	5	1	2	7	1	4	5	4	2
hsa-miR-4420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4254	0	0	0	0	0	0	0	6	0	1	0	0	7	0	1	1	0	0
hsa-miR-5585-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-5p	22	21	27	24	32	18	12	9	13	9	12	11	26	26	40	26	17	15
hsa-miR-3605-3p	133	107	85	122	122	121	119	75	89	52	62	79	153	126	136	140	133	158
hsa-miR-552-3p	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0
hsa-miR-552-5p	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	1
hsa-miR-4255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-5581-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5581-3p	0	1	4	1	0	0	4	1	0	1	2	2	2	0	1	1	0	3
hsa-miR-3659	1	0	1	0	0	1	1	0	0	0	3	0	0	0	0	3	4	3
hsa-miR-30e-5p	9322	11434	10629	12797	13675	9179	15647	5853	12788	12947	14760	18225	21238	13566	24158	25567	17301	18829
hsa-miR-30e-3p	1105	1202	1260	1514	1377	1274	1984	748	1751	1419	1435	1606	2171	1531	2666	3059	1871	2476
hsa-miR-30c-5p	18360	18810	20816	66787	25779	42933	45496	19733	32300	26734	27544	31793	37823	37019	44555	73471	44500	45837
hsa-miR-30c-1-3p	37	48	35	67	94	51	86	40	69	47	71	72	95	44	90	107	84	106
hsa-miR-6733-5p	0	5	4	3	4	1	3	0	7	0	5	6	7	4	7	5	2	8
hsa-miR-6733-3p	0	2	2	4	2	4	3	1	0	1	1	4	0	0	5	4	2	4
hsa-miR-6734-5p	10	17	3	2	13	1	4	7	5	5	10	3	8	16	13	10	6	7
hsa-miR-6734-3p	9	6	8	1	3	6	5	3	3	0	4	0	2	1	6	1	6	7
hsa-miR-6735-5p	1	2	0	3	1	4	0	1	0	2	1	0	2	1	3	4	3	0
hsa-miR-6735-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	3
hsa-miR-6079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5584-5p	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5584-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4421	2	3	0	5	9	7	3	2	5	4	2	7	10	1	3	11	7	6
hsa-miR-6500-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6500-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-5p	1	2	0	0	2	1	1	1	0	0	0	0	0	1	1	0	0	0
hsa-miR-4781-3p	1	2	1	2	1	1	0	2	6	2	2	0	4	0	1	2	5	5
hsa-miR-4422	4	0	0	0	0	0	3	0	0	0	0	1	2	3	0	0	0	0
hsa-miR-4711-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
hsa-miR-4711-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
hsa-miR-12132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-3116	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-6068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4794	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-5p	8	2	7	8	7	4	2	13	3	6	3	9	29	5	17	38	16	13
hsa-miR-101-3p	15038	13845	17817	14647	9278	10562	21742	4731	20688	15298	16709	17547	21230	8207	20360	32379	18934	15886
hsa-miR-3117-3p	68	72	60	68	55	64	100	29	60	75	92	68	99	28	107	51	34	31
hsa-miR-3117-5p	0	2	2	2	2	1	1	1	0	1	0	1	4	0	5	1	0	0
hsa-miR-1262	53	40	32	26	64	32	23	37	30	20	37	33	103	96	141	62	30	94
hsa-miR-186-5p	9732	12767	11655	13389	10864	10823	13475	5758	11635	14064	14593	17956	17541	15217	22038	13098	7586	10954
hsa-miR-186-3p	27	41	38	28	47	22	38	14	21	27	32	56	46	28	41	40	53	27
hsa-miR-7156-5p	4	1	0	8	5	8	12	6	17	3	0	2	0	3	2	28	15	16
hsa-miR-7156-3p	1	4	1	2	1	9	5	3	8	0	1	2	2	0	3	8	8	14
hsa-miR-4423-5p	4	4	2	3	7	3	8	7	4	7	11	10	14	20	30	36	33	16
hsa-miR-4423-3p	1	1	3	1	1	0	0	0	0	1	0	0	4	0	6	10	4	5
hsa-miR-7856-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-760	9	13	3	10	23	6	34	24	16	10	12	13	40	21	19	21	31	16
hsa-miR-12133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	79	87	76	39	119	37	116	36	108	43	48	35	105	110	98	62	70	62
hsa-miR-2682-3p	158	211	172	53	158	55	199	45	174	112	113	123	135	74	128	128	93	60
hsa-miR-137-3p	6755	7029	7958	4848	5560	4323	9469	1971	7477	3986	6225	5094	5830	6696	5694	7347	4114	3992
hsa-miR-137-5p	92	115	52	57	128	75	133	73	94	43	63	58	88	166	72	65	56	43
hsa-miR-553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7852-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-197-3p	616	525	558	662	564	730	880	351	600	472	653	477	698	827	669	759	849	802
hsa-miR-197-5p	0	7	1	1	4	4	2	1	4	3	5	2	3	11	1	1	3	1
hsa-miR-4256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11399	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0
hsa-miR-548ac	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-320b	235	337	268	420	561	644	397	248	330	169	421	236	724	596	675	416	444	388
hsa-miR-942-5p	40	33	40	45	112	27	89	74	72	45	26	53	136	75	137	118	67	103
hsa-miR-942-3p	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6736-5p	1	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	2
hsa-miR-6736-3p	2	0	0	0	1	0	1	0	1	0	0	1	0	2	0	1	1	2
hsa-miR-5087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6878-5p	0	0	0	1	2	0	0	0	0	0	1	0	1	0	3	1	0	0
hsa-miR-6878-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-5p	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6737-3p	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5698	0	1	1	1	0	1	2	0	1	0	3	2	3	10	6	2	3	2
hsa-miR-190b-5p	60	75	43	102	109	130	101	81	86	78	140	82	125	268	131	91	89	62
hsa-miR-190b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-92b-5p	45	49	26	18	60	26	19	36	33	22	21	18	99	50	53	56	67	44
hsa-miR-92b-3p	218	289	149	166	299	232	296	134	196	123	180	134	407	268	305	430	351	305
hsa-miR-555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	2	0	0
hsa-miR-6738-3p	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1
hsa-miR-9-5p	35	62	33	37	48	54	94	78	67	48	53	65	102	33	69	86	60	60
hsa-miR-9-3p	9	3	3	7	24	6	39	27	31	12	28	23	18	39	15	27	0	12
hsa-miR-765	4	9	3	1	9	4	2	5	12	1	6	1	11	13	5	3	11	3
hsa-miR-4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5187-5p	5	15	4	7	18	8	9	10	13	4	10	2	11	12	17	10	6	9
hsa-miR-5187-3p	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0
hsa-miR-4654	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
hsa-miR-556-5p	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	7	2	2
hsa-miR-556-3p	2	1	0	1	0	3	0	0	4	3	0	3	4	4	1	13	0	3
hsa-miR-3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295a	3	2	0	0	0	0	0	1	0	1	0	0	0	0	5	0	1	1
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-214-5p	59	42	103	34	44	39	22	9	23	39	62	133	180	53	231	50	66	95
hsa-miR-214-3p	202	180	258	91	143	115	76	68	89	181	190	320	543	320	587	249	273	374
hsa-miR-3120-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2
hsa-miR-3120-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-5p	26098	25995	32353	5790	4802	4015	3929	1599	3540	19553	24364	28583	33875	6901	39261	6117	7810	7258
hsa-miR-199a-3p	335972	352039	334624	63102	74856	63103	47829	35324	50355	253280	269518	329891	419113	148218	447195	88959	64505	122314
hsa-miR-1843	101	124	92	69	97	113	127	74	87	88	98	86	154	94	108	93	117	85
hsa-miR-488-5p	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-488-3p	5	1	4	3	0	1	3	0	3	0	0	2	3	0	4	0	0	0
hsa-miR-4424	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3121-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4426	2	0	0	2	0	1	0	1	0	0	2	0	0	0	1	0	1	0
hsa-miR-1278	1	3	7	8	3	0	9	3	5	1	5	3	5	1	7	9	1	3
hsa-miR-4735-5p	3	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	1
hsa-miR-4735-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181b-5p	2484	4190	3260	1661	4387	3690	1866	2153	2747	1168	2944	1990	2999	4824	3173	1515	1378	2242
hsa-miR-181b-3p	52	71	62	26	81	34	19	33	47	23	70	30	35	61	31	15	4	22
hsa-miR-181a-5p	7208	11784	8676	5286	11094	9795	7083	6062	7495	5072	8215	6961	10294	12310	9939	8268	5999	13514
hsa-miR-181a-3p	715	1315	938	449	814	591	459	331	642	504	978	870	674	868	779	484	283	422
hsa-miR-5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-1231	1	0	0	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0
hsa-miR-6739-5p	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6739-3p	1	1	1	0	3	1	5	3	0	0	0	1	0	2	0	0	0	3
hsa-miR-6740-5p	0	0	0	2	1	0	0	1	0	1	2	1	1	1	1	0	1	0
hsa-miR-6740-3p	1	0	0	1	0	0	4	0	0	2	2	1	3	0	0	1	1	0
hsa-miR-135b-5p	743	792	739	15	15	13	45	16	45	194	261	228	246	50	177	8	8	5
hsa-miR-135b-3p	54	46	47	0	0	3	0	1	0	14	5	24	12	1	7	0	0	0
hsa-miR-6769b-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	8	2	4	5	0	8	7	2	5	2	4	7	11	13	2	10	2	3
hsa-miR-29c-5p	695	772	746	2744	1526	2056	3755	1052	2564	662	694	693	2645	1617	2824	4049	2655	2953
hsa-miR-29c-3p	5454	8180	6963	21014	9522	14541	28733	5459	27070	7585	7089	9655	23316	8641	24263	39479	25018	25365
hsa-miR-29b-3p	175844	165355	179712	156671	67482	114282	194977	31315	157101	131500	155243	173836	185825	70056	162927	176699	119859	76915
hsa-miR-29b-2-5p	118	157	126	639	413	457	734	354	546	143	135	122	655	694	745	889	661	654
hsa-miR-205-5p	1	1	0	0	0	0	0	4	0	1	1	0	3	0	3	0	3	0
hsa-miR-205-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	93	169	97	7	8	10	13	10	9	21	57	30	78	42	58	9	17	15
hsa-miR-215-3p	1	3	0	1	0	0	0	1	0	0	0	3	6	4	1	0	0	0
hsa-miR-194-5p	490	966	575	778	633	598	831	398	630	594	972	724	803	903	1081	426	307	353
hsa-miR-664a-5p	1332	1744	1813	1672	1414	1265	1749	1203	1326	1262	1379	1539	1253	1364	1160	1392	1693	826
hsa-miR-664a-3p	135	279	213	216	112	211	238	111	169	145	236	202	226	219	275	286	259	172
hsa-miR-4742-5p	6	8	5	12	3	11	10	2	1	8	7	9	18	5	15	7	2	6
hsa-miR-4742-3p	4	6	0	6	3	7	10	2	2	3	2	1	9	5	9	5	2	2
hsa-miR-6741-5p	2	0	0	3	1	0	0	0	0	2	0	1	0	0	2	0	0	5
hsa-miR-6741-3p	3	0	4	2	5	4	0	1	3	0	3	3	6	0	2	1	3	8
hsa-miR-5008-5p	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1
hsa-miR-5008-3p	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	1
hsa-miR-3620-3p	2	6	2	7	2	3	7	1	8	5	6	2	4	10	14	6	0	2
hsa-miR-3620-5p	0	0	0	0	2	0	0	0	1	0	1	2	2	1	1	0	0	0
hsa-miR-6742-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-6742-3p	0	0	1	2	2	2	0	1	0	0	0	0	1	0	0	3	0	0
hsa-miR-4666a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4671-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4671-3p	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-4753-5p	0	0	0	0	0	0	0	0	1	2	2	0	0	0	1	1	0	1
hsa-miR-4753-3p	3	0	0	5	0	1	0	0	0	0	0	3	0	0	0	1	0	0
hsa-miR-1537-3p	4	2	3	10	0	3	1	1	2	7	4	5	3	5	1	11	2	2
hsa-miR-1537-5p	0	0	7	3	0	1	0	0	0	2	1	2	5	1	0	1	4	2
hsa-miR-4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4677-5p	16	10	27	8	10	9	6	3	12	12	3	9	15	9	11	13	7	8
hsa-miR-4677-3p	74	73	84	57	83	66	66	32	54	69	96	79	135	87	127	49	27	51
hsa-miR-3916	2	2	0	1	6	8	0	1	5	1	4	2	0	2	4	1	0	1
hsa-miR-3124-5p	7	3	4	1	1	6	2	1	1	2	4	3	14	11	1	2	3	5
hsa-miR-3124-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5699-3p	12	19	20	12	14	16	26	12	20	12	7	12	48	7	29	40	27	20
hsa-miR-5699-5p	11	6	7	5	24	9	16	10	19	5	8	14	22	4	23	36	10	25
hsa-miR-6072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ak	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548q	2	3	3	2	1	2	0	0	0	6	0	1	6	7	5	6	3	5
hsa-miR-4293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
hsa-miR-511-5p	0	2	1	3	10	1	4	6	6	0	3	2	0	4	5	3	0	0
hsa-miR-511-3p	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-4675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-938	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0
hsa-miR-7162-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7162-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3611	9	1	6	11	1	10	14	3	9	3	20	6	2	0	3	5	12	4
hsa-miR-4683	19	6	14	4	1	3	6	5	2	8	6	8	25	2	19	0	0	0
hsa-miR-5100	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0
hsa-miR-3156-5p	6	45	3	0	6	3	12	6	3	0	6	0	0	0	0	0	0	0
hsa-miR-3156-3p	18	0	24	6	0	2	20	8	10	4	6	8	0	0	0	2	2	4
hsa-miR-4294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-605-5p	4	0	0	4	0	0	2	0	0	2	3	3	4	4	0	2	0	1
hsa-miR-605-3p	0	2	0	0	0	0	0	0	0	0	3	0	1	0	3	0	0	2
hsa-miR-548f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-5p	151	213	144	86	261	86	125	152	136	161	271	182	248	167	296	242	191	243
hsa-miR-1296-3p	4	3	1	1	0	1	4	2	0	2	4	3	1	4	2	1	0	5
hsa-miR-7151-5p	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
hsa-miR-7151-3p	0	0	3	3	0	4	1	0	3	2	2	3	0	0	0	0	4	1
hsa-miR-7152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-5p	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	4	8	3	0	1	0	2	0	0	1	2	2	1	0	7	2	0	3
hsa-miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-346	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0
hsa-miR-4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4679	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	6	0
hsa-miR-107	3023	3191	3378	4266	3341	4034	5842	2357	4740	3195	3514	3810	6443	3809	6681	5611	3936	4457
hsa-miR-3157-5p	5	3	15	9	14	5	17	8	13	6	17	10	20	24	19	12	16	6
hsa-miR-3157-3p	1	0	0	0	0	0	1	2	0	0	2	0	3	0	2	0	0	0
hsa-miR-607	3	0	1	0	3	0	1	0	0	0	0	0	1	2	0	0	1	0
hsa-miR-3085-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
