gene_id	gene_symbol	TM_C_1	TM_C_2	TM_C_3	TM_C_4	TM_C_5	TM_T_1	TM_T_2	TM_T_3	TM_T_4	TM_T_5
ENSG00000188157.15	AGRN	12923	10814	12429	12165	11768	13631	9831	9347	10292	9281
ENSG00000242590.1	AL645608.5	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.10	AL390719.1	6	26	11	4	40	42	17	39	21	60
ENSG00000273443.1	AL645608.8	3	0	0	0	0	12	2	7	0	1
ENSG00000237330.3	RNF223	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.17	C1orf159	298	154	211	238	239	277	170	272	236	237
ENSG00000285812.1	AL390719.3	0	0	1	0	1	0	1	1	1	1
ENSG00000223823.1	LINC01342	0	0	0	0	0	0	0	0	0	0
ENSG00000207730.3	MIR200B	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.3	MIR200A	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	MIR429	0	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	AL390719.2	0	0	0	0	0	0	0	0	0	0
ENSG00000205231.1	TTLL10-AS1	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.14	TTLL10	0	0	0	0	0	0	0	0	0	0
ENSG00000186891.14	TNFRSF18	0	0	0	0	2	4	0	0	3	1
ENSG00000186827.11	TNFRSF4	1	0	9	0	0	0	0	0	2	2
ENSG00000078808.18	SDF4	11108	12184	10047	10385	10978	12147	11891	9643	9016	11134
ENSG00000176022.7	B3GALT6	1230	1333	1195	1269	1222	1443	1269	1679	1318	1448
ENSG00000184163.3	C1QTNF12	20	15	16	24	17	23	20	37	16	16
ENSG00000260179.1	AL162741.1	6	2	4	2	3	0	3	5	4	4
ENSG00000160087.21	UBE2J2	918	974	910	1075	919	1141	868	1201	1034	1154
ENSG00000230415.1	LINC01786	26	20	19	7	12	6	32	10	13	17
ENSG00000162572.21	SCNN1D	191	146	97	69	116	71	165	70	102	150
ENSG00000131584.19	ACAP3	2847	2390	2079	2799	1859	2107	2799	2211	2440	1799
ENSG00000278073.1	MIR6726	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.12	PUSL1	296	404	309	320	282	409	360	346	325	274
ENSG00000127054.21	INTS11	1528	1784	1411	1582	1446	1635	1414	1626	1514	1400
ENSG00000283712.1	MIR6727	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	AL139287.1	53	36	30	41	17	34	35	61	39	45
ENSG00000224051.7	CPTP	766	800	868	849	1002	1144	665	1003	906	948
ENSG00000169962.5	TAS1R3	15	1	7	8	7	13	6	23	29	12
ENSG00000107404.20	DVL1	2469	3071	3218	3114	2911	3527	3113	3226	3578	3183
ENSG00000284372.1	MIR6808	0	0	0	0	0	0	0	0	0	0
ENSG00000162576.17	MXRA8	14949	12882	7777	9974	8448	12553	17140	12083	7179	8327
ENSG00000175756.13	AURKAIP1	2125	1903	2265	2498	2378	2947	1922	2504	2427	2579
ENSG00000223663.2	NDUFB4P8	0	0	0	0	0	2	0	0	0	0
ENSG00000221978.12	CCNL2	3358	2331	1815	2666	1573	2153	2884	2729	2762	2397
ENSG00000224870.7	MRPL20-AS1	303	364	350	327	333	418	285	362	340	384
ENSG00000242485.6	MRPL20	1156	1257	1270	1228	1141	1637	1073	1415	1331	1284
ENSG00000264293.2	RN7SL657P	0	0	0	0	0	0	0	0	0	0
ENSG00000272455.1	MRPL20-DT	29	31	30	57	29	44	30	58	48	32
ENSG00000235098.8	ANKRD65	2	151	3	8	15	0	71	3	2	16
ENSG00000225905.1	AL391244.1	1	3	0	0	0	0	0	0	0	0
ENSG00000205116.3	TMEM88B	0	0	0	0	0	0	0	0	0	0
ENSG00000225285.1	LINC01770	0	3	0	0	0	0	2	0	0	0
ENSG00000179403.12	VWA1	58	476	8	18	22	18	349	32	16	63
ENSG00000215915.10	ATAD3C	1	0	4	0	3	3	0	0	0	3
ENSG00000160072.20	ATAD3B	563	365	775	867	557	922	460	923	894	662
ENSG00000284740.1	AL645728.2	11	5	20	6	19	13	1	13	6	22
ENSG00000197785.14	ATAD3A	987	781	1109	1390	957	1743	718	1362	1490	1175
ENSG00000205090.9	TMEM240	140	190	60	78	59	60	164	61	64	75
ENSG00000160075.12	SSU72	2588	2489	2557	2289	2437	2876	2470	2656	2448	2757
ENSG00000215014.5	AL645728.1	27	27	18	9	24	29	21	25	19	27
ENSG00000274481.1	AL691432.3	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.4	FNDC10	343	127	222	328	292	444	80	244	401	316
ENSG00000286989.1	AL691432.4	9	0	11	3	19	10	5	7	11	10
ENSG00000272106.1	AL691432.2	55	65	72	57	87	78	65	102	81	100
ENSG00000197530.12	MIB2	1897	1827	1486	1453	1596	1858	1992	2074	1643	2359
ENSG00000189409.14	MMP23B	1	0	3	0	5	0	6	3	3	7
ENSG00000248333.8	CDK11B	896	1229	906	922	1089	1047	1001	922	892	1001
ENSG00000272004.1	FO704657.1	0	1	0	4	0	2	1	0	2	0
ENSG00000189339.12	SLC35E2B	1719	2162	658	1106	1300	986	1425	937	966	1215
ENSG00000269737.2	AL691432.1	11	11	12	5	8	6	23	20	6	14
ENSG00000215914.4	MMP23A	2	2	7	0	1	0	2	4	6	3
ENSG00000008128.23	CDK11A	27	35	41	33	32	47	31	68	41	31
ENSG00000268575.1	AL031282.2	30	29	22	19	9	18	65	38	13	13
ENSG00000227775.3	AL031282.1	5	2	8	2	2	1	10	9	6	4
ENSG00000215790.7	SLC35E2A	258	289	363	216	174	175	200	515	177	151
ENSG00000008130.15	NADK	1322	1558	1422	1517	1642	1635	1260	1607	1611	1649
ENSG00000078369.18	GNB1	7877	9155	10211	12785	11414	14643	9086	15067	13102	13849
ENSG00000231050.1	AL109917.1	4	6	8	7	7	5	3	10	7	16
ENSG00000169885.10	CALML6	18	9	22	5	10	14	17	27	7	23
ENSG00000178821.13	TMEM52	4	5	2	3	2	2	1	1	6	4
ENSG00000142609.18	CFAP74	0	0	0	0	0	0	0	0	0	0
ENSG00000233542.2	AL391845.2	0	0	0	0	0	0	1	0	0	0
ENSG00000187730.9	GABRD	0	0	0	0	0	0	0	1	0	0
ENSG00000226969.1	AL391845.1	2	0	0	0	0	0	0	0	0	0
ENSG00000067606.17	PRKCZ	67	20	53	70	81	86	21	72	74	165
ENSG00000271806.1	AL590822.2	0	0	0	1	0	0	0	0	0	0
ENSG00000182873.5	PRKCZ-AS1	30	11	7	11	11	16	3	37	34	13
ENSG00000162585.17	FAAP20	1596	1639	1325	1641	1622	1807	1661	1825	1586	1884
ENSG00000234396.3	AL590822.1	1	0	3	0	3	3	4	0	0	2
ENSG00000157933.10	SKI	2461	3163	1805	1838	1892	2429	2811	4396	2302	3748
ENSG00000287356.1	AL590822.3	46	29	16	10	15	8	24	18	19	12
ENSG00000116151.14	MORN1	117	133	94	147	120	112	127	113	125	99
ENSG00000272161.1	AL589739.1	1	1	1	0	0	0	0	1	0	0
ENSG00000269896.2	AL513477.1	51	75	31	27	45	34	53	29	28	35
ENSG00000272420.1	AL513477.2	0	0	4	0	3	2	8	0	1	1
ENSG00000157916.20	RER1	2085	1834	2736	3279	2323	3543	1912	2806	3440	2817
ENSG00000157911.11	PEX10	521	550	518	589	702	552	473	516	474	564
ENSG00000149527.18	PLCH2	27	8	21	7	2	20	14	32	37	28
ENSG00000224387.1	AL139246.1	0	0	1	0	0	0	0	2	0	2
ENSG00000229393.1	AL139246.4	0	0	0	0	0	0	0	1	1	0
ENSG00000157881.16	PANK4	445	557	417	436	400	602	490	585	415	480
ENSG00000197921.6	HES5	0	0	0	0	1	0	0	5	0	1
ENSG00000272449.2	AL139246.5	16	6	7	5	14	13	15	23	0	19
ENSG00000238164.6	TNFRSF14-AS1	15	0	2	1	22	3	0	3	5	20
ENSG00000157873.17	TNFRSF14	986	5	40	208	890	155	3	371	186	441
ENSG00000225931.3	AL139246.2	0	0	0	0	2	0	0	0	0	0
ENSG00000228037.1	AL139246.3	2	0	0	0	0	0	0	0	0	1
ENSG00000157870.17	PRXL2B	876	1222	912	1368	1226	1230	1063	1086	1209	1086
ENSG00000142606.16	MMEL1	1	0	0	4	2	5	0	0	3	4
ENSG00000237058.1	MMEL1-AS1	0	0	0	0	0	0	0	0	0	0
ENSG00000215912.12	TTC34	13	17	14	10	14	1	12	18	17	20
ENSG00000285945.1	AC242022.2	0	0	0	0	0	0	0	0	0	0
ENSG00000283259.1	AC242022.1	0	0	0	0	3	0	0	0	0	0
ENSG00000233234.1	AL592464.2	0	0	0	0	0	0	0	0	0	0
ENSG00000287396.1	AL592464.3	0	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	AL592464.1	0	0	0	0	0	0	0	0	0	0
ENSG00000284745.1	AL589702.1	0	0	0	0	0	0	0	0	0	0
ENSG00000169717.7	ACTRT2	0	0	0	0	0	0	0	0	0	0
ENSG00000177133.11	PRDM16-DT	19	80	14	7	29	10	78	10	3	11
ENSG00000142611.17	PRDM16	133	428	119	32	82	47	259	82	37	58
ENSG00000283572.1	MIR4251	0	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	AL008733.1	0	0	0	0	0	0	0	0	0	0
ENSG00000279839.1	AL512383.1	0	0	0	0	0	0	0	0	0	0
ENSG00000272235.1	AL590438.1	0	4	3	0	1	2	10	5	2	3
ENSG00000287828.1	AL354743.2	8	11	22	10	13	27	18	19	19	23
ENSG00000286518.1	AL354743.1	0	2	0	0	0	0	1	1	0	1
ENSG00000130762.15	ARHGEF16	2	0	6	15	13	4	2	36	18	19
ENSG00000272088.1	AL512413.1	0	0	3	0	0	0	0	4	0	0
ENSG00000162591.16	MEGF6	1244	1314	2350	4743	2954	1223	1803	6044	3485	3916
ENSG00000207776.1	MIR551A	0	0	0	0	0	0	0	0	0	0
ENSG00000238260.1	AL513320.1	14	6	8	1	4	7	12	5	15	8
ENSG00000158109.15	TPRG1L	2784	2864	3200	3904	3439	4110	2473	3863	4565	3761
ENSG00000116213.16	WRAP73	263	277	255	327	298	312	266	288	325	291
ENSG00000078900.15	TP73	0	0	0	0	0	0	0	0	2	5
ENSG00000227589.1	AL136528.1	0	0	0	0	0	0	0	0	0	0
ENSG00000235131.1	TP73-AS2	0	0	0	0	0	0	0	0	0	0
ENSG00000227372.12	TP73-AS1	556	640	333	340	518	400	397	599	398	545
ENSG00000276189.1	AL136528.2	0	0	0	0	0	0	0	0	0	0
ENSG00000162592.10	CCDC27	0	0	2	0	2	0	0	2	0	0
ENSG00000235169.10	SMIM1	21	4	7	26	9	4	3	4	10	2
ENSG00000130764.10	LRRC47	1054	1584	1090	1103	1039	1269	1031	1183	1079	1112
ENSG00000266075.2	RN7SL574P	0	1	0	0	0	0	0	0	5	0
ENSG00000272153.1	AL365330.1	13	8	4	13	8	6	13	9	12	13
ENSG00000116198.14	CEP104	754	1232	926	876	974	1046	916	1120	897	1004
ENSG00000169598.17	DFFB	56	79	71	52	52	55	60	94	70	64
ENSG00000198912.11	C1orf174	298	387	224	323	311	402	298	357	379	332
ENSG00000236423.6	LINC01134	22	23	32	42	45	65	30	53	42	61
ENSG00000233304.7	LINC01346	0	0	0	0	0	0	0	2	0	0
ENSG00000226374.3	LINC01345	0	0	0	0	0	0	0	0	0	0
ENSG00000284668.2	LINC02780	0	0	0	0	0	0	0	0	0	0
ENSG00000284703.1	AL805961.1	0	0	0	0	0	0	0	1	0	0
ENSG00000229280.1	EEF1DP6	0	0	0	0	0	0	0	0	0	0
ENSG00000235054.4	LINC01777	0	0	0	0	0	0	0	0	0	0
ENSG00000284694.1	AL355602.1	0	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	Z98747.1	0	0	0	0	0	0	0	0	0	0
ENSG00000232596.3	LINC01646	0	0	0	0	0	0	0	0	0	0
ENSG00000196581.11	AJAP1	0	0	0	0	0	1	0	1	0	0
ENSG00000287586.1	Z98886.1	0	0	0	0	0	0	0	0	0	0
ENSG00000284739.1	BX005132.1	0	0	0	0	0	0	0	0	0	0
ENSG00000284674.1	LINC02781	0	0	0	0	0	0	0	0	0	0
ENSG00000231510.1	LINC02782	0	0	0	0	0	0	3	0	0	0
ENSG00000284616.1	AL139823.1	0	0	0	0	0	0	0	0	0	0
ENSG00000284692.2	Z98259.3	0	0	0	0	0	0	0	0	0	0
ENSG00000284666.1	Z98259.2	0	0	0	0	0	0	0	0	0	0
ENSG00000260972.1	Z98259.1	0	0	0	0	0	0	0	0	0	0
ENSG00000283356.1	Z97988.2	0	0	0	0	0	0	0	0	0	0
ENSG00000236948.2	AL365255.1	0	0	0	0	0	0	0	0	0	0
ENSG00000264341.1	Z97988.1	0	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	MIR4689	0	0	0	0	0	0	0	0	0	0
ENSG00000131697.18	NPHP4	212	172	223	260	245	250	251	268	334	260
ENSG00000069424.15	KCNAB2	829	536	410	602	503	419	326	344	635	469
ENSG00000116254.18	CHD5	48	255	203	377	178	116	234	133	550	187
ENSG00000285629.1	AL031847.1	0	0	0	0	0	0	0	0	0	0
ENSG00000116251.11	RPL22	1326	2181	1181	1138	1173	1065	1384	1098	961	1227
ENSG00000226944.1	RNF207-AS1	9	4	2	6	12	4	0	4	12	8
ENSG00000158286.13	RNF207	144	141	133	139	204	159	209	204	208	252
ENSG00000116237.16	ICMT	3417	4498	3680	3961	4284	4989	3785	4424	3897	4502
ENSG00000225077.3	LINC00337	1	2	0	1	8	1	4	5	6	2
ENSG00000173673.8	HES3	0	0	0	0	0	0	0	0	0	0
ENSG00000158292.7	GPR153	398	706	62	183	183	130	459	122	112	72
ENSG00000097021.19	ACOT7	1285	1605	1987	4634	2406	3699	2123	3355	4100	2802
ENSG00000271746.1	AL031848.2	0	0	0	0	0	0	0	0	0	0
ENSG00000069812.11	HES2	0	0	28	4	6	7	3	11	2	11
ENSG00000187017.17	ESPN	0	1	2	0	0	0	1	5	1	1
ENSG00000265392.1	MIR4252	0	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	AL031848.1	0	0	0	0	0	0	0	0	0	0
ENSG00000215788.11	TNFRSF25	217	156	188	313	128	296	248	472	333	292
ENSG00000171680.23	PLEKHG5	857	868	972	1647	804	1482	1119	2030	1820	1378
ENSG00000162408.11	NOL9	382	605	485	425	510	597	418	726	409	533
ENSG00000253022.1	RNU6-731P	0	0	0	0	0	0	0	0	0	0
ENSG00000229519.2	AL591866.1	1	1	1	0	0	0	0	3	2	0
ENSG00000173662.21	TAS1R1	2	0	5	34	17	5	0	0	23	18
ENSG00000204859.13	ZBTB48	271	276	242	297	286	339	236	310	317	353
ENSG00000162413.16	KLHL21	8139	13548	4036	3048	7083	6453	6926	5497	3889	5889
ENSG00000116273.6	PHF13	735	953	459	512	613	591	582	498	518	400
ENSG00000041988.15	THAP3	247	271	147	192	213	222	215	196	170	184
ENSG00000007923.16	DNAJC11	537	717	774	891	777	920	557	1046	859	880
ENSG00000228750.7	LINC01672	0	0	0	0	0	0	0	0	0	0
ENSG00000284744.1	AL591163.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237436.1	CAMTA1-DT	8	6	1	4	3	2	4	4	0	5
ENSG00000171735.19	CAMTA1	580	578	477	409	577	670	513	661	459	668
ENSG00000227950.1	AL590128.1	0	0	0	0	0	0	0	1	0	0
ENSG00000237365.1	AL512330.1	0	0	0	0	0	0	0	0	0	0
ENSG00000207056.1	RNU1-8P	0	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	CAMTA1-IT1	0	0	0	1	0	1	0	1	1	0
ENSG00000237728.2	CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	CAMTA1-AS1	0	0	0	0	0	0	0	0	0	0
ENSG00000270171.1	AL359881.3	0	0	0	0	0	0	0	0	0	0
ENSG00000270035.1	AL359881.2	0	0	0	0	0	0	0	0	0	0
ENSG00000269978.1	AL359881.1	0	0	0	0	0	0	0	0	0	0
ENSG00000049245.13	VAMP3	4043	4456	3879	4382	4336	5268	3851	4273	4078	4000
ENSG00000269925.1	Z98884.2	7	3	6	4	4	4	1	7	2	7
ENSG00000049246.14	PER3	401	504	127	117	203	194	658	169	143	114
ENSG00000236266.1	Z98884.1	1	3	2	0	1	1	4	0	0	2
ENSG00000049247.14	UTS2	0	0	0	0	0	0	0	0	0	0
ENSG00000049249.9	TNFRSF9	2	0	0	0	1	0	0	0	1	0
ENSG00000270330.1	AL009183.1	0	0	0	0	0	0	0	0	0	0
ENSG00000116288.13	PARK7	3797	4018	4108	4095	4276	4865	3691	4079	3596	4600
ENSG00000200344.1	Y_RNA	0	0	0	0	0	0	0	0	0	0
ENSG00000284747.1	AL034417.4	6	2	9	9	5	24	4	5	5	2
ENSG00000284716.1	AL034417.3	0	0	0	0	0	0	0	0	2	0
ENSG00000116285.13	ERRFI1	804	879	389	878	256	664	785	225	718	165
ENSG00000238290.1	AL034417.2	3	2	2	0	0	0	0	0	0	0
ENSG00000232848.1	AL034417.1	0	0	0	0	0	0	0	0	0	0
ENSG00000229305.1	AL358876.1	2	0	0	0	0	0	0	0	0	0
ENSG00000227634.3	LINC01714	0	1	3	0	1	0	0	0	0	2
ENSG00000200975.1	RNU1-7P	0	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	AL358876.2	0	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	RNU6-991P	0	0	0	0	0	0	0	1	0	0
ENSG00000162426.15	SLC45A1	140	221	76	131	128	88	116	55	85	66
ENSG00000252254.1	AL356072.1	0	2	0	0	0	0	0	0	0	0
ENSG00000142599.19	RERE	3021	5038	1999	2104	2769	2379	4304	5085	2117	4122
ENSG00000232912.6	RERE-AS1	0	0	0	0	2	0	2	3	0	0
ENSG00000221083.1	AL096855.1	0	0	0	0	0	0	0	0	0	0
ENSG00000270282.1	AL096855.2	0	0	0	0	0	0	0	0	0	0
ENSG00000234619.1	RPL7P11	0	0	0	0	0	0	0	0	0	0
ENSG00000224315.2	RPL7P7	0	0	0	0	0	0	0	0	0	0
ENSG00000222511.2	Y_RNA	0	0	0	0	0	0	0	0	0	0
ENSG00000226545.1	AL357552.1	0	0	0	0	0	0	0	0	0	0
ENSG00000228423.2	AL357552.2	0	0	0	0	0	0	0	0	0	0
ENSG00000229716.2	RPL23AP19	0	0	0	0	0	0	0	0	0	0
ENSG00000074800.16	ENO1	40875	40964	50386	62152	53859	71827	37615	50553	59742	61972
ENSG00000274258.1	MIR6728	0	1	0	0	0	1	0	0	0	1
ENSG00000230679.1	ENO1-AS1	0	1	4	0	3	2	0	2	0	1
ENSG00000201725.1	RNU6-304P	0	0	0	0	1	0	0	0	1	0
ENSG00000238249.2	HMGN2P17	0	1	0	0	1	2	0	0	0	0
ENSG00000232208.2	AL139415.1	0	0	0	1	0	0	0	0	0	0
ENSG00000232663.2	AL139415.2	0	0	0	0	0	0	0	0	0	0
ENSG00000131686.15	CA6	0	0	0	0	2	0	0	0	0	0
ENSG00000265141.2	RN7SL451P	0	0	0	0	0	0	0	0	0	0
ENSG00000197241.3	SLC2A7	1	0	0	0	0	0	0	0	0	0
ENSG00000142583.18	SLC2A5	11	2	0	11	4	2	1	1	14	6
ENSG00000252404.1	AL158048.1	0	0	0	0	0	0	0	0	0	0
ENSG00000180758.12	GPR157	107	58	78	246	231	135	65	261	438	287
ENSG00000228526.7	MIR34AHG	233	139	88	100	194	46	167	140	147	137
ENSG00000284357.1	MIR34A	0	0	0	0	0	0	0	0	0	0
ENSG00000234546.4	LNCTAM34A	81	44	13	33	41	26	31	38	13	42
ENSG00000049239.13	H6PD	2254	2226	1298	2372	1798	1288	1799	1137	1638	1390
ENSG00000171621.14	SPSB1	1187	341	399	789	943	603	307	712	845	1033
ENSG00000284652.1	BX323043.1	4	8	1	1	1	4	5	0	0	4
ENSG00000284693.1	LINC02606	69	53	29	23	29	26	36	22	21	29
ENSG00000252956.1	RNA5SP40	0	0	0	0	0	0	0	0	0	0
ENSG00000235263.1	AL928921.1	0	0	0	0	0	0	0	0	0	0
ENSG00000171612.7	SLC25A33	231	239	285	312	349	341	165	330	285	325
ENSG00000231181.1	AL954705.1	6	0	2	0	0	0	5	0	1	1
ENSG00000188807.13	TMEM201	325	421	330	469	462	415	311	462	482	487
ENSG00000171608.16	PIK3CD	479	588	668	571	818	729	567	1101	577	819
ENSG00000179840.5	PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0
ENSG00000233268.3	AL691449.1	0	0	0	0	0	0	0	0	0	0
ENSG00000231789.2	PIK3CD-AS2	32	97	34	5	38	13	45	25	9	37
ENSG00000171603.18	CLSTN1	7018	6797	4614	5725	6110	8121	7299	8210	6613	7639
ENSG00000271264.1	MZT1P1	0	0	0	0	0	0	0	0	0	0
ENSG00000280113.2	AL357140.3	0	0	0	0	0	0	0	0	0	0
ENSG00000178585.15	CTNNBIP1	297	292	278	382	292	399	305	341	379	290
ENSG00000223989.1	AL357140.1	0	0	0	0	0	0	0	0	0	0
ENSG00000285701.1	AL357140.4	0	0	0	0	0	0	1	0	1	0
ENSG00000162441.12	LZIC	629	780	471	478	631	697	561	636	585	573
ENSG00000228150.1	AL357140.2	2	1	6	1	3	7	8	2	7	7
ENSG00000173614.14	NMNAT1	305	306	411	395	408	440	287	418	379	422
ENSG00000202415.1	RN7SKP269	1	0	0	0	1	0	1	0	2	0
ENSG00000283611.2	TMEM274P	0	0	1	0	0	0	3	2	0	0
ENSG00000265521.1	MIR5697	0	0	0	0	0	0	0	1	0	0
ENSG00000241326.1	AL603962.1	0	0	0	0	0	0	0	0	0	0
ENSG00000162444.12	RBP7	0	1	0	1	0	0	0	0	1	0
ENSG00000130939.20	UBE4B	1767	2000	1138	1139	1246	1221	1283	1362	1138	1233
ENSG00000224340.1	AL590639.1	0	0	0	0	0	0	0	0	0	0
ENSG00000233623.2	PGAM1P11	0	2	0	0	1	0	2	0	0	0
ENSG00000201746.1	RNU6-828P	3	0	0	0	0	0	3	0	0	0
ENSG00000054523.18	KIF1B	1077	1574	1306	1443	1421	1234	1138	1860	1336	1358
ENSG00000264881.1	AL358013.1	0	0	0	0	0	0	0	0	0	0
ENSG00000199562.1	RNU6-37P	0	0	0	0	0	0	0	0	0	0
